engagement_id,customer_id,product_id,session_duration,session_date,device_type,watched_fully
67,1953,10,292,2024-07-29,Mobile,False
68,788,3,63,2024-07-17,Desktop,True
69,135,3,328,2024-06-10,Tablet,True
70,1481,4,195,2024-02-02,Mobile,False
71,1248,1,270,2024-01-22,Mobile,True
72,1677,5,36,2024-01-26,Mobile,False
73,1065,3,224,2024-08-20,Mobile,False
74,1399,7,245,2024-02-22,Mobile,False
75,29,8,336,2024-02-17,Mobile,False
76,1963,2,88,2024-04-21,Desktop,False
77,1293,10,359,2024-08-12,Mobile,True
78,266,4,245,2024-02-23,Desktop,False
79,869,4,24,2024-04-29,Tablet,True
80,1932,7,131,2024-11-05,Desktop,True
81,923,10,35,2024-03-06,Desktop,False
82,1476,8,326,2024-09-08,Mobile,True
83,922,7,109,2024-11-02,Tablet,False
84,1089,7,265,2024-10-29,Tablet,True
85,527,1,180,2024-03-15,Desktop,True
86,1071,9,139,2024-03-25,Mobile,True
87,1935,5,295,2024-09-19,Desktop,False
88,879,10,152,2024-05-05,Tablet,True
89,1934,1,332,2024-03-05,Mobile,True
90,1402,5,2,2024-04-29,Desktop,True
91,1321,6,226,2024-05-30,Desktop,False
92,497,6,165,2024-05-11,Mobile,False
93,997,8,7,2024-05-01,Mobile,True
94,515,6,230,2024-01-31,Mobile,True
95,327,10,183,2024-10-26,Desktop,False
96,416,3,214,2024-09-02,Mobile,False
97,1902,8,242,2024-10-09,Mobile,False
98,1613,5,276,2024-03-25,Desktop,False
99,286,5,228,2024-05-10,Tablet,False
100,1204,4,194,2024-06-22,Tablet,False
101,1499,1,251,2024-10-06,Desktop,True
102,1820,2,304,2024-10-29,Mobile,True
103,780,7,215,2024-05-19,Mobile,True
104,1405,5,359,2024-05-03,Mobile,True
105,1610,2,194,2024-10-03,Desktop,True
106,1730,5,208,2024-05-28,Mobile,True
107,967,7,281,2024-10-22,Tablet,False
108,1915,2,316,2024-02-11,Desktop,True
109,1717,9,70,2024-05-18,Mobile,False
110,131,7,61,2024-01-13,Tablet,True
111,1394,7,199,2024-06-29,Tablet,True
112,304,9,222,2024-02-10,Desktop,False
113,454,6,15,2024-02-11,Mobile,False
114,876,9,200,2024-03-12,Desktop,True
115,33,8,342,2024-08-13,Mobile,False
116,402,2,28,2024-02-25,Desktop,True
117,1338,9,310,2024-04-27,Tablet,True
118,1579,2,111,2024-10-24,Desktop,True
119,1043,6,246,2024-06-07,Desktop,True
120,144,10,60,2024-02-07,Tablet,True
121,993,4,119,2024-08-24,Tablet,True
122,1876,1,262,2024-03-11,Mobile,True
123,960,2,176,2024-02-19,Desktop,True
124,1410,10,8,2024-04-14,Tablet,True
125,742,5,296,2024-07-07,Desktop,True
126,64,6,188,2024-02-17,Desktop,True
127,1577,7,311,2024-01-17,Tablet,False
128,1576,1,70,2024-09-26,Mobile,False
129,1817,8,113,2024-10-13,Desktop,True
130,1999,9,225,2024-04-22,Mobile,True
131,912,3,330,2024-07-24,Tablet,False
132,1787,9,270,2024-08-14,Mobile,False
133,571,6,5,2024-02-17,Tablet,True
134,525,3,78,2024-07-28,Desktop,False
135,1880,1,177,2024-05-09,Desktop,False
136,642,7,45,2024-06-05,Desktop,True
137,1828,10,267,2024-08-23,Tablet,True
138,1330,5,39,2024-11-07,Tablet,True
139,64,9,26,2024-07-16,Desktop,True
140,171,2,2,2024-02-08,Tablet,True
141,1648,8,142,2024-02-06,Tablet,True
142,231,2,210,2024-01-18,Mobile,False
143,677,10,36,2024-05-15,Mobile,True
144,1321,3,134,2024-09-12,Mobile,False
145,1598,10,317,2024-04-23,Mobile,True
146,308,2,182,2024-10-03,Mobile,True
147,1519,2,160,2024-04-22,Tablet,True
148,1047,3,243,2024-10-05,Mobile,False
149,1562,8,222,2024-01-10,Tablet,False
150,1064,8,30,2024-10-26,Tablet,True
151,242,8,230,2024-07-03,Mobile,True
152,1239,6,218,2024-08-06,Mobile,False
153,1596,2,166,2024-10-09,Mobile,True
154,1731,8,218,2024-05-05,Mobile,True
155,1473,8,326,2024-11-02,Mobile,False
156,1199,7,237,2024-01-03,Tablet,True
157,1510,5,35,2024-03-08,Mobile,True
158,1508,5,327,2024-07-13,Mobile,False
159,761,2,59,2024-09-18,Desktop,False
160,16,10,269,2024-02-03,Desktop,False
161,870,9,42,2024-05-03,Tablet,True
162,472,8,34,2024-10-08,Tablet,False
163,765,1,73,2024-11-09,Desktop,True
164,191,10,231,2024-05-28,Mobile,False
165,1662,10,32,2024-03-26,Desktop,True
166,760,8,175,2024-10-05,Mobile,True
167,267,3,161,2024-09-29,Mobile,False
168,1059,2,16,2024-01-16,Mobile,True
169,121,9,163,2024-08-03,Mobile,True
170,1232,5,307,2024-10-21,Tablet,False
171,1500,3,125,2024-08-26,Tablet,True
172,76,9,335,2024-08-21,Tablet,True
173,1128,5,344,2024-03-09,Desktop,True
174,412,10,184,2024-03-07,Tablet,True
175,425,5,296,2024-02-07,Mobile,True
176,993,6,237,2024-01-24,Tablet,True
177,358,10,327,2024-11-13,Desktop,True
178,1543,7,291,2024-05-05,Desktop,False
179,697,3,327,2024-09-21,Mobile,True
180,1580,7,85,2024-08-20,Tablet,True
181,1972,1,258,2024-10-19,Mobile,False
182,59,2,112,2024-04-23,Tablet,False
183,843,7,172,2024-06-25,Desktop,True
184,1118,3,278,2024-09-22,Desktop,True
185,484,4,70,2024-06-20,Desktop,True
186,558,10,289,2024-11-12,Desktop,False
187,29,10,172,2024-05-19,Mobile,True
188,1928,6,230,2024-03-03,Tablet,True
189,1493,1,211,2024-10-28,Mobile,False
190,1010,8,263,2024-05-01,Tablet,True
191,31,3,275,2024-03-24,Desktop,True
192,911,6,322,2024-02-12,Mobile,True
193,368,1,20,2024-02-16,Mobile,False
194,1784,8,193,2024-06-09,Tablet,False
195,480,3,321,2024-06-01,Desktop,False
196,335,6,133,2024-11-07,Desktop,True
197,1060,9,296,2024-09-04,Mobile,False
198,1675,10,28,2024-05-24,Mobile,True
199,1927,8,79,2024-07-15,Mobile,True
200,1854,9,349,2024-05-05,Desktop,True
201,1805,6,128,2024-01-25,Desktop,True
202,77,3,170,2024-03-16,Mobile,False
203,1198,5,46,2024-04-15,Mobile,False
204,1377,1,190,2024-10-11,Mobile,True
205,783,6,41,2024-05-12,Mobile,True
206,1043,3,127,2024-05-01,Mobile,True
207,1083,6,266,2024-01-04,Tablet,False
208,1242,10,351,2024-08-25,Tablet,False
209,1201,6,252,2024-03-30,Tablet,False
210,610,9,347,2024-11-06,Tablet,True
211,1490,6,173,2024-04-01,Tablet,True
212,662,9,286,2024-06-22,Mobile,True
213,1943,9,240,2024-06-13,Desktop,False
214,637,3,292,2024-01-26,Tablet,False
215,810,8,278,2024-01-28,Desktop,True
216,1105,1,235,2024-09-06,Desktop,True
217,836,3,195,2024-04-22,Mobile,False
218,501,8,110,2024-02-29,Mobile,False
219,1118,8,163,2024-09-29,Desktop,True
220,360,2,158,2024-10-20,Mobile,True
221,240,10,93,2024-06-05,Mobile,True
222,652,7,89,2024-09-24,Mobile,True
223,1765,7,159,2024-10-28,Tablet,True
224,784,1,191,2024-05-01,Mobile,False
225,1331,1,146,2024-03-20,Desktop,False
226,1629,6,191,2024-06-25,Mobile,False
227,1975,7,242,2024-03-20,Tablet,False
228,1271,5,343,2024-03-18,Tablet,True
229,745,10,274,2024-08-18,Desktop,True
230,1530,3,41,2024-10-31,Tablet,True
231,1031,6,257,2024-11-11,Mobile,True
232,536,2,264,2024-07-29,Tablet,True
233,119,6,197,2024-08-16,Mobile,False
234,877,8,146,2024-11-04,Mobile,True
235,570,3,231,2024-04-07,Mobile,False
236,1977,1,208,2024-10-28,Mobile,True
237,1653,8,257,2024-01-16,Desktop,False
238,221,4,318,2024-02-13,Tablet,True
239,1662,6,68,2024-02-19,Mobile,True
240,1555,10,359,2024-02-20,Desktop,False
241,1695,8,194,2024-09-25,Desktop,False
242,291,3,344,2024-03-09,Desktop,False
243,1321,10,296,2024-11-10,Desktop,True
244,1429,8,78,2024-02-09,Desktop,False
245,1258,2,29,2024-01-07,Tablet,True
246,1996,2,250,2024-06-30,Desktop,False
247,1273,9,256,2024-08-17,Mobile,True
248,1146,9,203,2024-03-16,Desktop,True
249,998,10,305,2024-03-17,Mobile,False
250,718,7,86,2024-05-09,Mobile,False
251,1155,1,201,2024-03-01,Tablet,True
252,676,7,153,2024-01-30,Tablet,True
253,738,7,7,2024-08-27,Desktop,False
254,99,6,39,2024-05-15,Desktop,False
255,815,1,112,2024-03-28,Desktop,False
256,667,10,52,2024-06-08,Mobile,True
257,1469,9,333,2024-07-25,Tablet,True
258,1527,5,99,2024-02-19,Mobile,True
259,1098,7,108,2024-01-03,Mobile,True
260,820,2,325,2024-01-26,Desktop,True
261,261,8,329,2024-06-01,Mobile,False
262,1078,10,248,2024-04-24,Mobile,True
263,326,6,284,2024-10-01,Tablet,True
264,1066,9,199,2024-04-11,Desktop,False
265,1210,5,212,2024-11-13,Tablet,True
266,981,1,87,2024-09-23,Desktop,False
267,500,7,232,2024-09-09,Tablet,True
268,576,4,334,2024-04-17,Desktop,True
269,372,2,1,2024-04-21,Tablet,True
270,957,1,38,2024-10-04,Mobile,True
271,134,2,311,2024-02-17,Mobile,False
272,622,7,7,2024-06-25,Desktop,False
273,943,2,350,2024-04-05,Desktop,False
274,67,10,193,2024-09-28,Tablet,True
275,167,1,207,2024-11-10,Mobile,True
276,1750,10,110,2024-11-13,Mobile,False
277,549,3,107,2024-03-31,Desktop,True
278,1482,5,252,2024-09-18,Mobile,True
279,1833,9,111,2024-03-29,Mobile,True
280,856,10,333,2024-03-31,Desktop,True
281,433,3,67,2024-10-14,Desktop,True
282,123,9,124,2024-10-25,Desktop,True
283,1479,5,360,2024-04-21,Tablet,False
284,904,7,239,2024-01-01,Desktop,True
285,593,6,30,2024-05-08,Tablet,False
286,528,6,341,2024-03-24,Tablet,True
287,990,7,335,2024-07-12,Mobile,False
288,189,1,22,2024-06-07,Desktop,True
289,481,2,43,2024-02-27,Mobile,True
290,1955,7,108,2024-08-01,Desktop,False
291,1737,4,121,2024-01-05,Mobile,True
292,640,9,63,2024-01-09,Desktop,False
293,1585,4,313,2024-07-05,Tablet,False
294,432,8,163,2024-05-24,Tablet,False
295,43,5,187,2024-10-20,Tablet,True
296,1956,4,128,2024-10-23,Mobile,False
297,124,9,122,2024-09-13,Desktop,False
298,1354,2,190,2024-07-26,Desktop,True
299,911,4,27,2024-04-20,Tablet,False
300,426,5,273,2024-06-16,Mobile,True
301,589,2,121,2024-10-02,Mobile,False
302,900,8,58,2024-10-10,Mobile,False
303,1682,9,5,2024-10-09,Mobile,True
304,753,6,251,2024-03-05,Mobile,True
305,139,8,278,2024-03-02,Mobile,False
306,552,1,133,2024-03-13,Mobile,False
307,1877,8,2,2024-01-03,Mobile,False
308,869,2,134,2024-02-13,Desktop,True
309,290,7,309,2024-09-27,Tablet,True
310,1947,5,70,2024-02-08,Tablet,True
311,1782,7,84,2024-01-19,Mobile,True
312,555,7,74,2024-03-08,Desktop,False
313,529,5,77,2024-05-16,Mobile,True
314,379,6,156,2024-01-09,Desktop,True
315,1573,3,239,2024-07-08,Tablet,True
316,610,6,26,2024-05-27,Desktop,False
317,1318,6,211,2024-11-12,Tablet,False
318,1316,7,189,2024-03-29,Desktop,True
319,1479,2,273,2024-03-19,Mobile,False
320,361,1,164,2024-09-12,Tablet,True
321,357,1,331,2024-04-05,Desktop,True
322,663,8,200,2024-05-02,Desktop,True
323,381,9,19,2024-10-01,Desktop,True
324,1137,4,85,2024-09-09,Tablet,True
325,577,6,48,2024-01-16,Desktop,False
326,61,4,68,2024-06-25,Mobile,False
327,138,9,135,2024-06-09,Mobile,True
328,560,3,360,2024-04-01,Tablet,False
329,904,6,356,2024-03-11,Mobile,True
330,1530,10,96,2024-11-01,Tablet,False
331,1265,1,145,2024-09-21,Desktop,True
332,1214,2,222,2024-04-20,Desktop,False
333,1319,9,145,2024-08-15,Desktop,False
334,1648,6,205,2024-01-14,Desktop,True
335,871,6,302,2024-03-01,Tablet,True
336,1653,1,247,2024-01-23,Mobile,True
337,1339,2,72,2024-10-02,Tablet,False
338,1550,8,300,2024-08-09,Mobile,True
339,515,6,117,2024-10-27,Mobile,False
340,1418,3,118,2024-07-27,Tablet,True
341,423,5,78,2024-08-20,Mobile,False
342,843,2,335,2024-09-13,Desktop,False
343,1104,4,111,2024-03-03,Mobile,True
344,805,8,277,2024-09-02,Mobile,True
345,1229,8,345,2024-06-05,Mobile,False
346,1727,10,172,2024-02-08,Desktop,False
347,262,5,323,2024-11-12,Tablet,True
348,453,7,20,2024-10-17,Tablet,False
349,130,5,131,2024-09-08,Desktop,False
350,641,2,244,2024-05-14,Mobile,True
351,1692,5,229,2024-01-30,Mobile,True
352,996,7,360,2024-08-06,Desktop,True
353,303,1,24,2024-04-19,Mobile,True
354,1778,10,191,2024-05-26,Desktop,True
355,753,5,165,2024-03-05,Desktop,True
356,428,8,345,2024-09-01,Tablet,False
357,305,7,138,2024-10-05,Desktop,True
358,1550,9,218,2024-04-25,Desktop,False
359,255,4,73,2024-08-26,Desktop,True
360,448,4,253,2024-03-09,Desktop,True
361,1508,8,194,2024-09-13,Tablet,False
362,498,4,61,2024-03-17,Mobile,True
363,1478,8,234,2024-03-19,Mobile,True
364,147,10,41,2024-08-24,Mobile,False
365,268,8,318,2024-08-10,Tablet,False
366,1712,7,297,2024-10-21,Mobile,True
367,499,1,263,2024-02-24,Tablet,False
368,1047,4,92,2024-06-07,Tablet,False
369,429,7,124,2024-03-28,Desktop,True
370,556,2,113,2024-08-03,Tablet,False
371,1308,3,145,2024-02-28,Tablet,True
372,1463,4,126,2024-01-03,Tablet,True
373,457,5,43,2024-08-12,Desktop,True
374,1097,9,132,2024-01-03,Tablet,True
375,1482,5,167,2024-04-01,Desktop,True
376,95,5,272,2024-08-17,Tablet,True
377,1758,5,33,2024-07-02,Desktop,True
378,1718,2,2,2024-03-30,Desktop,True
379,635,2,5,2024-05-03,Mobile,True
380,114,10,226,2024-01-27,Desktop,False
381,743,7,350,2024-05-30,Mobile,False
382,824,7,24,2024-05-10,Mobile,False
383,64,4,311,2024-01-25,Mobile,True
384,184,1,152,2024-04-02,Tablet,False
385,769,6,333,2024-01-17,Desktop,True
386,1276,4,75,2024-08-10,Mobile,True
387,635,4,228,2024-06-15,Desktop,True
388,358,9,318,2024-01-13,Tablet,False
389,1911,3,137,2024-10-22,Mobile,False
390,1746,3,283,2024-10-24,Tablet,True
391,1941,1,252,2024-07-04,Desktop,True
392,960,9,50,2024-08-21,Desktop,False
393,321,6,304,2024-07-15,Desktop,True
394,1286,5,171,2024-05-19,Desktop,True
395,874,1,293,2024-08-07,Tablet,True
396,1653,3,289,2024-04-16,Desktop,False
397,99,6,11,2024-02-09,Desktop,True
398,325,6,121,2024-08-17,Mobile,False
399,1665,9,262,2024-05-23,Tablet,False
400,1466,1,243,2024-09-13,Tablet,False
401,85,2,238,2024-08-08,Desktop,False
402,749,10,265,2024-06-04,Mobile,False
403,803,9,62,2024-06-27,Desktop,False
404,1799,7,290,2024-08-30,Desktop,False
405,420,6,189,2024-04-26,Mobile,False
406,1205,9,331,2024-06-20,Mobile,True
407,1770,5,133,2024-04-20,Mobile,True
408,252,9,238,2024-05-19,Desktop,False
409,418,1,301,2024-08-21,Desktop,True
410,1959,4,55,2024-02-05,Desktop,True
411,1892,6,201,2024-01-25,Mobile,True
412,416,6,12,2024-08-12,Tablet,False
413,958,6,2,2024-06-07,Mobile,False
414,231,4,195,2024-08-30,Mobile,False
415,1611,10,239,2024-06-02,Tablet,False
416,1514,5,38,2024-05-09,Mobile,True
417,1581,6,319,2024-01-02,Desktop,True
418,1054,9,162,2024-08-21,Mobile,False
419,37,8,307,2024-10-22,Tablet,True
420,173,1,340,2024-01-08,Mobile,True
421,1319,7,125,2024-07-05,Desktop,False
422,1516,7,253,2024-05-30,Mobile,False
423,1553,4,85,2024-09-22,Mobile,False
424,22,5,19,2024-09-02,Mobile,True
425,1182,1,359,2024-01-03,Mobile,True
426,69,7,14,2024-01-25,Desktop,True
427,1745,9,192,2024-07-13,Mobile,True
428,1862,9,320,2024-06-27,Desktop,False
429,526,2,347,2024-09-29,Tablet,True
430,803,10,196,2024-02-05,Mobile,True
431,1006,8,255,2024-03-22,Desktop,False
432,1626,7,188,2024-04-14,Tablet,True
433,727,6,185,2024-07-17,Mobile,False
434,1987,10,32,2024-07-24,Desktop,True
435,1789,4,15,2024-06-07,Mobile,True
436,607,10,339,2024-09-10,Tablet,True
437,452,1,81,2024-09-04,Tablet,True
438,1252,3,148,2024-07-22,Mobile,False
439,1411,3,177,2024-05-28,Desktop,True
440,1896,10,137,2024-04-16,Tablet,True
441,12,6,49,2024-10-04,Mobile,False
442,402,2,141,2024-10-01,Tablet,True
443,616,2,355,2024-03-18,Mobile,False
444,1417,8,276,2024-07-27,Mobile,False
445,1114,4,273,2024-10-18,Tablet,False
446,837,6,17,2024-09-09,Tablet,True
447,70,2,7,2024-07-20,Desktop,False
448,1031,2,336,2024-01-21,Mobile,True
449,1934,1,114,2024-04-26,Desktop,True
450,1386,9,145,2024-02-14,Tablet,False
451,503,9,294,2024-04-24,Mobile,True
452,109,2,1,2024-05-16,Tablet,True
453,1869,7,308,2024-03-12,Desktop,True
454,1923,7,330,2024-09-06,Mobile,True
455,1556,1,181,2024-05-09,Tablet,True
456,1479,2,25,2024-07-22,Tablet,True
457,989,6,322,2024-08-25,Desktop,False
458,1910,1,144,2024-06-18,Mobile,True
459,418,5,291,2024-07-14,Mobile,False
460,460,9,219,2024-06-16,Tablet,True
461,616,6,215,2024-01-31,Desktop,True
462,274,7,106,2024-08-03,Mobile,True
463,1682,10,306,2024-07-31,Tablet,False
464,77,4,175,2024-05-02,Desktop,True
465,1909,8,77,2024-07-18,Tablet,False
466,785,3,360,2024-06-20,Tablet,False
467,685,5,122,2024-07-28,Desktop,False
468,1173,10,251,2024-04-19,Mobile,True
469,722,8,64,2024-01-24,Desktop,True
470,622,9,184,2024-02-13,Desktop,True
471,1450,2,61,2024-05-12,Tablet,False
472,913,1,60,2024-07-31,Tablet,True
473,1472,6,132,2024-06-03,Mobile,True
474,831,9,42,2024-01-13,Tablet,True
475,249,9,3,2024-03-23,Mobile,True
476,1950,7,255,2024-01-25,Mobile,True
477,1663,4,278,2024-10-16,Mobile,True
478,1468,8,337,2024-10-06,Mobile,True
479,1549,4,66,2024-01-19,Mobile,True
480,1774,10,117,2024-02-22,Desktop,True
481,1437,2,255,2024-11-03,Mobile,True
482,819,2,222,2024-11-12,Mobile,False
483,771,4,327,2024-10-18,Tablet,True
484,1943,1,70,2024-04-30,Tablet,True
485,54,1,307,2024-10-12,Desktop,False
486,1575,7,130,2024-05-23,Desktop,True
487,677,8,228,2024-03-30,Mobile,False
488,166,9,340,2024-06-18,Desktop,False
489,1817,7,220,2024-01-09,Desktop,False
490,414,3,322,2024-01-24,Tablet,True
491,295,5,256,2024-02-12,Tablet,False
492,1719,2,244,2024-10-22,Desktop,True
493,125,1,68,2024-02-13,Desktop,False
494,87,3,3,2024-04-17,Tablet,True
495,758,8,291,2024-06-11,Desktop,False
496,1921,1,88,2024-02-15,Tablet,False
497,1920,4,56,2024-06-23,Mobile,False
498,839,8,115,2024-02-09,Tablet,True
499,78,8,226,2024-09-03,Mobile,False
500,941,2,231,2024-10-02,Tablet,True
501,640,6,231,2024-04-24,Tablet,True
502,1449,9,303,2024-10-27,Tablet,True
503,1371,3,356,2024-03-12,Desktop,True
504,1432,9,301,2024-08-09,Mobile,True
505,1569,7,98,2024-06-04,Mobile,False
506,10,3,67,2024-03-20,Desktop,True
507,1003,2,73,2024-03-05,Desktop,True
508,687,9,293,2024-10-08,Tablet,True
509,1365,6,210,2024-03-30,Tablet,True
510,1760,8,120,2024-03-04,Desktop,True
511,1576,8,29,2024-07-25,Desktop,False
512,1971,1,80,2024-03-21,Tablet,False
513,1106,3,266,2024-02-29,Desktop,False
514,679,7,199,2024-08-27,Tablet,True
515,1724,8,270,2024-09-21,Desktop,True
516,826,6,177,2024-10-22,Desktop,True
517,1142,3,92,2024-01-02,Tablet,True
518,1959,4,168,2024-04-27,Tablet,False
519,1651,8,285,2024-04-11,Desktop,False
520,1333,8,343,2024-04-21,Mobile,True
521,618,5,236,2024-04-27,Tablet,True
522,6,4,39,2024-06-03,Mobile,False
523,109,5,343,2024-06-03,Desktop,True
524,1458,4,86,2024-09-02,Desktop,True
525,1174,6,7,2024-04-27,Tablet,True
526,1912,2,88,2024-04-21,Desktop,True
527,1415,9,241,2024-10-29,Mobile,False
528,1720,9,46,2024-05-01,Desktop,False
529,1632,1,89,2024-01-09,Tablet,False
530,858,3,182,2024-07-13,Desktop,True
531,1491,8,227,2024-08-02,Mobile,True
532,120,8,316,2024-04-25,Mobile,True
533,1703,7,166,2024-03-04,Desktop,True
534,1491,10,5,2024-07-03,Tablet,True
535,453,6,334,2024-01-17,Mobile,True
536,416,2,174,2024-01-25,Mobile,False
537,122,4,46,2024-04-05,Tablet,True
538,1583,6,325,2024-03-05,Desktop,True
539,566,9,206,2024-01-12,Tablet,False
540,1059,5,298,2024-10-09,Mobile,True
541,231,8,316,2024-02-20,Desktop,True
542,227,8,73,2024-01-09,Desktop,True
543,1182,1,132,2024-10-17,Mobile,True
544,1214,10,49,2024-04-05,Mobile,True
545,249,8,156,2024-11-11,Tablet,False
546,936,4,88,2024-02-09,Mobile,False
547,651,4,43,2024-05-17,Mobile,True
548,492,4,86,2024-07-14,Desktop,False
549,1182,9,171,2024-03-06,Tablet,False
550,1240,8,109,2024-01-22,Tablet,False
551,1577,10,168,2024-06-27,Mobile,True
552,171,1,247,2024-05-17,Mobile,True
553,480,2,305,2024-01-06,Mobile,False
554,1481,6,282,2024-05-26,Mobile,False
555,1926,6,103,2024-07-29,Desktop,True
556,742,4,118,2024-11-01,Mobile,True
557,441,8,144,2024-09-15,Tablet,False
558,767,5,165,2024-03-03,Mobile,True
559,1888,5,260,2024-05-21,Tablet,True
560,1444,2,151,2024-06-22,Mobile,False
561,1392,6,162,2024-03-02,Mobile,False
562,271,9,176,2024-08-19,Desktop,True
563,750,3,12,2024-01-20,Mobile,True
564,1666,6,195,2024-04-03,Desktop,False
565,1085,4,200,2024-05-07,Desktop,False
566,1205,10,307,2024-05-09,Mobile,False
567,1108,1,284,2024-06-07,Mobile,False
568,868,5,92,2024-09-11,Tablet,True
569,1123,7,205,2024-08-08,Tablet,True
570,1301,9,189,2024-10-15,Desktop,True
571,1478,3,302,2024-09-07,Desktop,False
572,1899,3,135,2024-07-20,Desktop,False
573,1500,6,131,2024-04-29,Desktop,True
574,38,8,203,2024-09-20,Desktop,True
575,893,7,323,2024-07-13,Tablet,True
576,19,3,238,2024-08-11,Tablet,True
577,999,8,45,2024-07-25,Desktop,True
578,1768,10,325,2024-09-14,Desktop,False
579,342,3,83,2024-06-06,Desktop,True
580,1065,7,214,2024-01-24,Tablet,True
581,857,5,184,2024-05-23,Tablet,True
582,685,1,120,2024-04-12,Tablet,False
583,876,2,303,2024-08-18,Tablet,False
584,545,4,123,2024-03-13,Mobile,True
585,1298,5,324,2024-09-18,Mobile,False
586,370,4,330,2024-02-28,Tablet,False
587,152,9,243,2024-04-02,Tablet,True
588,1015,4,101,2024-02-15,Desktop,False
589,737,5,235,2024-10-08,Desktop,True
590,1065,4,38,2024-11-01,Desktop,False
591,505,9,323,2024-09-01,Tablet,False
592,496,9,316,2024-07-07,Mobile,True
593,249,4,30,2024-07-05,Tablet,True
594,1854,4,112,2024-02-12,Desktop,False
595,514,3,18,2024-07-20,Tablet,False
596,1095,5,4,2024-10-11,Desktop,True
597,1908,4,218,2024-10-22,Mobile,True
598,1086,9,358,2024-01-23,Mobile,True
599,424,4,342,2024-09-07,Tablet,True
600,244,10,158,2024-08-29,Desktop,True
601,1957,6,141,2024-08-26,Tablet,True
602,697,8,303,2024-01-13,Tablet,False
603,1786,5,94,2024-03-01,Desktop,True
604,1747,6,356,2024-01-11,Tablet,False
605,1177,10,337,2024-02-27,Tablet,True
606,41,7,143,2024-02-15,Mobile,True
607,1395,7,99,2024-08-04,Tablet,True
608,440,3,226,2024-05-06,Tablet,False
609,1127,3,176,2024-06-11,Tablet,False
610,1140,1,192,2024-04-01,Tablet,True
611,767,2,69,2024-08-31,Desktop,False
612,1497,8,40,2024-05-07,Mobile,False
613,1648,4,201,2024-10-22,Desktop,False
614,104,2,215,2024-11-01,Tablet,False
615,1535,3,208,2024-01-28,Desktop,True
616,1083,6,332,2024-10-01,Mobile,True
617,1179,6,200,2024-04-25,Tablet,True
618,1426,6,359,2024-09-13,Mobile,True
619,1000,1,312,2024-10-07,Desktop,False
